id,category,element,specific_element,assessment,grade,repository,file,repository_created,file_added_committer_date,evidence_in_export,assessment_detail,comparison_sources,archive_file_link,catalog_number
56,Water and natural forces,GravPulse,Gravity/tide-driven wetland water treatment with biochar media.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/gravpulse/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Biochar tidal-flow wetlands were researched before 2025; simulated tidal flow is not necessarily ocean-powered operation.,https://doi.org/10.1016/j.scitotenv.2022.155728,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/gravpulse/readme.md,56
57,Water and natural forces,WaveForge,Use wave motion to aerate hypoxic coastal waters.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/waveforge/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Direct earlier wave-aeration research makes the broad first-mover claim untenable.,https://doi.org/10.3390/en11123262,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/waveforge/readme.md,57
58,Water and natural forces,CurrentCourier,Use natural ocean currents to distribute ecological seed pods to marine/coastal restoration areas.,Too thin or unresolved,C,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/currentcourier/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Needs species-specific dispersal and retention evidence; a natural transport concept is not a tested delivery system.,https://doi.org/10.25439/rmt.26981773,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/currentcourier/readme.md,58
59,Water and natural forces,FloodHarvest,Divert floodwater into reforestation and soil/mycelial restoration zones.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/floodharvest/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Integrated flood/restoration proposal; site-specific hydraulic and contamination handling remain undefined.,,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/floodharvest/readme.md,59
60,Water and natural forces,VortexRoot,Combine river-eddy debris capture with habitat scaffolding.,Narrow combination to investigate,A,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/vortexroot/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,A specific combined function worth a dedicated prior-art review; this pass did not resolve close mechanical predecessors.,,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/vortexroot/readme.md,60
61,Water and natural forces,ThermoSpiral,Use natural thermal gradients to support passive irrigation and soil remediation.,Too thin or unresolved,C,planetary-restoration-archive,innovations/biosphere-climate/biospheric-cascade-engine/thermospiral/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,No quantified thermal-to-hydraulic performance established.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biospheric-cascade-engine/thermospiral/readme.md,61
62,Water and natural forces,AeroHydra,Adaptive moisture-collection mesh with microclimate sensing and control.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/atmospheric-aerial/aeroweave/readme.md,2025-07-05T23:29:31Z,2025-07-14T23:19:37-06:00,Document or interface proposal; claimed capability not independently demonstrated,Water-harvesting meshes and passive collection have strong precedents; exact controls not validated.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/atmospheric-aerial/aeroweave/readme.md,62
63,Water and natural forces,Wind-to-water harvester,Combine wind exposure and moisture collection in a decentralized water-harvesting unit.,Precedented ingredients / application design,B,passive-wind-to-water-harvester,README.md,2025-07-20T20:56:02Z,2025-07-20T14:56:02-06:00,Document or interface proposal; claimed capability not independently demonstrated,Energy and humidity constraints need quantification; no first established.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/,https://github.com/therickyfoster/passive-wind-to-water-harvester/blob/main/README.md,63
64,Water and natural forces,Fog veil arrays,Arrange modular fog-catching surfaces for ecological water supply.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/fire-recovery-resilience/fog-harvester-veil/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Collection architecture candidate; no new condensation principle established.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/fire-recovery-resilience/fog-harvester-veil/readme.md,64
65,Water and natural forces,Solar MycoDesalination Dunes,"Combine solar desalination, dune-form structures and fungal materials in a coastal water system.",Narrow combination to investigate,A,planetary-restoration-archive,innovations/water-desalination/solar-mycodesalination-dunes/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Investigate material roles and salt management; fungi alone do not establish desalination capability.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/water-desalination/solar-mycodesalination-dunes/readme.md,65
66,Water and natural forces,HydroLoop,Recycle mist irrigation and capture condensation in a closed-loop growing system.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/water-desalination/HydroLoop™_FullProject/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,The selected summary is very short; water balance and actual closure are unverified.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/water-desalination/HydroLoop%E2%84%A2_FullProject/system_summary.md,66
67,Water and natural forces,AquaLens,Floating solar optical sensing with proposed contaminant diagnosis/purification functions.,Too thin or unresolved,C,planetary-restoration-archive,innovations/biosphere-climate/aqualens/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Optical measurements need contaminant-specific calibration; the full treatment mechanism is not established.,,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/aqualens/system_summary.md,67
68,Water and natural forces,LumaTide integrated ocean platform,"Combine kelp/algae, aquaculture, wave/tidal/solar energy and coastal protection on modular platforms.",Precedented ingredients / application design,B,lumatide-ocean-rings,README.md,2025-07-21T02:37:40Z,2025-07-20T20:37:40-06:00,Document or interface proposal; claimed capability not independently demonstrated,EU multi-use offshore programs predate it; ring geometry and operating integration are the narrower questions.,https://cordis.europa.eu/article/id/92768-offshore-platforms-for-sustainable-development-of-ocean-resources,https://github.com/therickyfoster/lumatide-ocean-rings/blob/main/README.md,68
69,Fire prevention and recovery,Suppression-to-regeneration package,"Combine acoustic suppression, protective hydrogel and fungal/spore restoration payloads.",Narrow combination to investigate,A,symfungi-shield,README.md,2025-06-29T04:22:06Z,2025-06-29T00:47:23-04:00,Document or interface proposal; claimed capability not independently demonstrated,The linked suppression/recovery workflow is the candidate; component technologies predate it.,https://news.stanford.edu/stories/2019/09/new-treatment-prevents-wildfires; https://cec.gmu.edu/news/2015-02/pump-bass-douse-blaze-mason-students-invention-fights-fires,https://github.com/therickyfoster/symfungi-shield/blob/main/README.md,69
70,Fire prevention and recovery,Fixed fire/restoration tower,Stationary environmental response tower integrating fire countermeasures and ecological recovery.,Precedented ingredients / application design,B,vascusweep-tower,README.md,2025-06-29T04:21:26Z,2025-06-29T00:47:18-04:00,Document or interface proposal; claimed capability not independently demonstrated,System proposal; no independent whole-system performance established.,https://news.stanford.edu/stories/2019/09/new-treatment-prevents-wildfires; https://cec.gmu.edu/news/2015-02/pump-bass-douse-blaze-mason-students-invention-fights-fires,https://github.com/therickyfoster/vascusweep-tower/blob/main/README.md,70
71,Fire prevention and recovery,EmberNet,Temperature-responsive mesh with embedded mist or gel release in vegetation corridors.,Narrow combination to investigate,A,planetary-restoration-archive,innovations/fire-recovery-resilience/embernet/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Deployment geometry and thermal triggering deserve comparison; no validated coverage figures.,https://news.stanford.edu/stories/2019/09/new-treatment-prevents-wildfires,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/fire-recovery-resilience/embernet/system_summary.md,71
72,Fire prevention and recovery,EmberRoot,Subsurface heat detection followed by localized hydration to interrupt underground fire spread.,Narrow combination to investigate,A,planetary-restoration-archive,innovations/fire-recovery-resilience/emberroot/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Specific detection-to-delivery architecture; underground effectiveness unverified.,https://news.stanford.edu/stories/2019/09/new-treatment-prevents-wildfires; https://www.dryad.net/post/visionary-forest-owners-sought-to-join-pilot-program-for-ultra-early-wildfire-detection,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/fire-recovery-resilience/emberroot/system_summary.md,72
73,Fire prevention and recovery,PyroRootCapsule,Root-zone embedded capsule releases expanding suppressant when heated.,Narrow combination to investigate,A,planetary-restoration-archive,innovations/special-projects/pyrorootcapsule/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,"Capsule placement, trigger and release design could be testable distinctions; no deployment proof.",https://news.stanford.edu/stories/2019/09/new-treatment-prevents-wildfires,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/special-projects/pyrorootcapsule/system_summary.md,73
74,Fire prevention and recovery,FireNest,Repurpose solar garden-light hardware into low-cost thermal/LoRa wildfire warning nodes.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/fire-recovery-resilience/firenest/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Low-cost hardware adaptation; solar mesh wildfire sensing existed earlier.,https://www.dryad.net/post/visionary-forest-owners-sought-to-join-pilot-program-for-ultra-early-wildfire-detection,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/fire-recovery-resilience/firenest/system_summary.md,74
75,Materials and atmospheric systems,Romarine integrated coastal material,"Combine Roman-style concrete, self-healing biology, biochar, solar evaporation/mineral recovery and habitat functions.",Narrow combination to investigate,A,romarine-concrete,README.md,2025-07-21T20:54:59Z,2025-07-21T14:54:59-06:00,Document or interface proposal; claimed capability not independently demonstrated,The composite coastal system is the candidate; material compatibility and advertised output are not validated.,https://doi.org/10.1016/j.jobe.2024.111564; https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/,https://github.com/therickyfoster/romarine-concrete/blob/main/README.md,75
76,Materials and atmospheric systems,BioWeave,"Combine living mycelial material, reinforcement and conductive elements for responsive/self-healing infrastructure.",Narrow combination to investigate,A,planetary-restoration-archive,innovations/bioweave/system_summary.md,2025-07-05T23:29:31Z,2025-07-14T23:09:16-06:00,Document or interface proposal; claimed capability not independently demonstrated,Specific material stack merits review; no measured structural or self-healing performance established.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/; https://www.frankfurt-university.de/de/news/n-pressemitteilungen/ausstellung-bauen-mit-myzel-an-der-frankfurt-uas/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/bioweave/system_summary.md,76
77,Materials and atmospheric systems,MycoFilter tiles,"Modular fungal/biochar filtration material proposed for air, water and soil applications.",Precedented ingredients / application design,B,myco-filter-tiles,README.md,2025-07-20T20:54:04Z,2025-07-20T14:54:05-06:00,Document or interface proposal; claimed capability not independently demonstrated,Fungal biofiltration has strong antecedents; multi-environment interchangeability needs testing.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/myco-filter-tiles/blob/main/README.md,77
78,Materials and atmospheric systems,MycoStack industrial retrofit,Adapt industrial structures and waste streams into fungal filtration/restoration infrastructure.,Narrow combination to investigate,A,regenerative-convergence-opportunities,README.md,2025-07-15T21:07:29Z,2025-07-15T15:07:29-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Thermal isolation, contaminant handling and retrofit construction are the narrower candidates.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/regenerative-convergence-opportunities/blob/main/README.md,78
79,Materials and atmospheric systems,Atmospheric mycelial towers,Vertical fungal/substrate infrastructure intended to clean ambient air.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/atmospheric-aerial/atmospheric-mycelial-towers/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Fungal gas biofilters predate it; ambient throughput and carbon claims need separate proof.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/atmospheric-aerial/atmospheric-mycelial-towers/readme.md,79
80,Materials and atmospheric systems,Air-filtration drone swarm,"Coordinate mobile aerial filters, sensing, recharging and environmental missions.",Too thin or unresolved,C,planetary-restoration-archive,innovations/atmospheric-aerial/atmospheric-filtration-drones/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,System proposal; field-scale mass/energy balance and net environmental gain not established.,https://www.microsoft.com/en-us/research/articles/magentic-one-a-generalist-multi-agent-system-for-solving-complex-tasks/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/atmospheric-aerial/atmospheric-filtration-drones/readme.md,80
81,Materials and atmospheric systems,Mist-based local air treatment,"Combine ultrasonic mist, ionization, conventional filtration and optional renewable power.",Precedented ingredients / application design,B,CloudNest,README.md,2025-06-27T16:21:25Z,2025-06-27T12:21:26-04:00,Document or interface proposal; claimed capability not independently demonstrated,Nanojet mist air-cleaning technology was exhibited before the archive.,https://www.innova-nanojet.co.uk/post/your-title-what-s-your-blog-about,https://github.com/therickyfoster/CloudNest/blob/main/README.md,81
82,Materials and atmospheric systems,Algal BioLattice panels,Integrate algae cultivation into building panels for environmental and energy functions.,Precedented ingredients / application design,B,planetary-restoration-archive,innovations/biotic-infrastructure/algal-biolattice-panels/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Algal bioreactor facades were demonstrated in Hamburg in 2013.,https://www.arup.com/en-us/projects/solarleaf/,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biotic-infrastructure/algal-biolattice-panels/readme.md,82
83,Materials and atmospheric systems,Cooling/filtering roof shingle,Combine reflective/evaporative cooling channels with a mycelium-biochar core.,Narrow combination to investigate,A,eco-cool-shingles,README.md,2025-07-20T20:59:52Z,2025-07-20T14:59:52-06:00,Document or interface proposal; claimed capability not independently demonstrated,Material integration candidate; claimed cooling and carbon performance require measurements.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/eco-cool-shingles/blob/main/README.md,83
84,Materials and atmospheric systems,ThermaLeaf,Combine plant-derived phase-change thermal storage and passive fungal/biochar filtration in wall panels.,Narrow combination to investigate,A,thermaleaf-panels,README.md,2025-07-21T02:15:55Z,2025-07-20T20:15:56-06:00,Document or interface proposal; claimed capability not independently demonstrated,Specific thermal/filter assembly is investigable; no dedicated PCM patent comparison completed.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/thermaleaf-panels/blob/main/README.md,84
85,Materials and atmospheric systems,SkyWeave roof system,"Combine solar-thermal roofing, adaptive insulation, airflow and distributed control.",Precedented ingredients / application design,B,planetary-restoration-archive,innovations/water-desalination/skyweave/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Integrated building envelope proposal; no verified first or full control-system validation.,,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/water-desalination/skyweave/system_summary.md,85
86,Materials and atmospheric systems,AeroGlass,Peel-and-stick solar-selective window film combined with TiO2/graphene photocatalytic treatment.,Narrow combination to investigate,A,aeroglass-window-film,README.md,2025-07-21T02:22:59Z,2025-07-20T20:22:59-06:00,Document or interface proposal; claimed capability not independently demonstrated,Layer construction and measured tradeoffs are the candidate; no dedicated coating/patent review completed.,,https://github.com/therickyfoster/aeroglass-window-film/blob/main/README.md,86
87,Materials and atmospheric systems,SolarWeave canopy,"Portable PV shade with rain collection, dust capture and rain-assisted cleaning.",Precedented ingredients / application design,B,solarweave-canopy,README.md,2025-07-21T02:21:20Z,2025-07-20T20:21:21-06:00,Document or interface proposal; claimed capability not independently demonstrated,Multi-function product combination; priority and durability remain unverified.,,https://github.com/therickyfoster/solarweave-canopy/blob/main/README.md,87
112,Materials and atmospheric systems,Dual-channel catalytic respirator,Separate intake/exhalation paths with proposed exhalation-reactivated catalyst and optional energy harvesting.,Narrow combination to investigate,A,planetary-restoration-archive,innovations/special-projects/closed-loop-catalytic-respirator/readme.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,"Potential material/flow architecture; respiratory protection and catalyst regeneration not validated, and dedicated prior-art search remains open.",,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/special-projects/closed-loop-catalytic-respirator/readme.md,88
88,Consumer ecological products,HydroMoss,Capillary hydrogel reservoir sustains modular living moss mats for cooling and decorative use.,Precedented ingredients / application design,B,hydromoss-mat,README.md,2025-07-21T02:19:37Z,2025-07-20T20:19:38-06:00,Document or interface proposal; claimed capability not independently demonstrated,Reservoir/living-surface design candidate; air-cleaning claims need realistic room-scale tests.,,https://github.com/therickyfoster/hydromoss-mat/blob/main/README.md,89
89,Consumer ecological products,EcoBreath,"Portable plants/moss, biochar and fungi combined with passive airflow or an optional fan.",Precedented ingredients / application design,B,eco-breath-purifier,README.md,2025-07-20T21:00:37Z,2025-07-20T15:00:38-06:00,Document or interface proposal; claimed capability not independently demonstrated,Assembly candidate; no measured clean-air delivery established.,https://pmc.ncbi.nlm.nih.gov/articles/PMC6960271/,https://github.com/therickyfoster/eco-breath-purifier/blob/main/README.md,90
90,Consumer ecological products,PureMist bottle,"Atmospheric collection mesh, fungal/biochar filtration and solar-recharged UV-C cap.",Narrow combination to investigate,A,puremist-bottle,README.md,2025-07-21T02:23:52Z,2025-07-20T20:23:53-06:00,Document or interface proposal; claimed capability not independently demonstrated,Specific portable integration is the candidate; potable output and all-climate claims are unverified.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8221617/,https://github.com/therickyfoster/puremist-bottle/blob/main/README.md,91
91,Consumer ecological products,BioCool pillow,Plant-derived phase-change gel and replaceable fungal/carbon filter inserts.,Precedented ingredients / application design,B,biocool-pillow,README.md,2025-07-21T02:25:12Z,2025-07-20T20:25:13-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Product combination; thermal comfort, exposure and filtration performance unverified.",,https://github.com/therickyfoster/biocool-pillow/blob/main/README.md,92
92,Consumer ecological products,FreshFloor,Snap-lock mycelium/carbon flooring with a hydrophobic surface and optional scent modules.,Precedented ingredients / application design,B,freshfloor-tiles,README.md,2025-07-21T02:27:22Z,2025-07-20T20:27:23-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Material/product integration; permeability, wear and air-treatment tradeoffs need testing.",,https://github.com/therickyfoster/freshfloor-tiles/blob/main/README.md,93
93,Consumer ecological products,BioGlow tiles,Contained bioluminescent organisms and refillable nutrient gel in lighting panels.,Too thin or unresolved,C,bio-glow-tiles,README.md,2025-07-20T20:58:58Z,2025-07-20T14:58:58-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Brightness, organism maintenance and claimed carbon benefit are not demonstrated.",,https://github.com/therickyfoster/bio-glow-tiles/blob/main/README.md,94
94,Consumer ecological products,GlowRoot,"Bioluminescent organisms, mycelium/biochar substrate and capillary watering in a planter.",Too thin or unresolved,C,glowroot-planter,README.md,2025-07-21T02:26:23Z,2025-07-20T20:26:24-06:00,Document or interface proposal; claimed capability not independently demonstrated,Biological glow must not be assumed sufficient for plant growth; proposed integration unvalidated.,,https://github.com/therickyfoster/glowroot-planter/blob/main/README.md,95
95,Consumer ecological products,EcoWave shower head,Fine-mist nozzles with a replaceable fungal/carbon filter and optional aroma module.,Precedented ingredients / application design,B,ecowave-shower-head,README.md,2025-07-21T02:35:08Z,2025-07-20T20:35:08-06:00,Document or interface proposal; claimed capability not independently demonstrated,Product assembly candidate; water-saving and treatment performance unverified.,,https://github.com/therickyfoster/ecowave-shower-head/blob/main/README.md,96
109,Consumer ecological products,SkyHarvest lantern,Solar LED lighting with a proposed biological backup and air-treatment function.,Precedented ingredients / application design,B,skyharvest-lantern,README.md,2025-07-21T02:30:50Z,2025-07-20T20:30:51-06:00,Document or interface proposal; claimed capability not independently demonstrated,Specific product combination; working biological output and air-treatment performance not verified.,,https://github.com/therickyfoster/skyharvest-lantern/blob/main/README.md,97
110,Consumer ecological products,AquaBloom,Condensation-watered miniature garden with a mycelium-carbon base and proposed pollinator support.,Too thin or unresolved,C,aquabloom-bottle-garden,README.md,2025-07-21T02:31:53Z,2025-07-20T20:31:53-06:00,Document or interface proposal; claimed capability not independently demonstrated,A sealed garden cannot automatically provide pollinator access or substantial room-air exchange; the integration needs clarification.,,https://github.com/therickyfoster/aquabloom-bottle-garden/blob/main/README.md,98
111,Consumer ecological products,BioLume,Bioluminescent lighting proposed to coordinate with circadian rhythms.,Too thin or unresolved,C,planetary-restoration-archive,innovations/biosphere-climate/biolume/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,"Control method, useful illumination and biological maintenance not demonstrated.",,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/biosphere-climate/biolume/system_summary.md,99
96,Frontier concepts and labels,Equatoriology,"Group equatorial energy, matter, ecological and information flows into a proposed research framework.",Too thin or unresolved,C,equatoriology,README.md,2025-12-04T11:08:53Z,2025-12-04T06:25:32-05:00,Document or interface proposal; claimed capability not independently demonstrated,A naming/synthesis proposal; recognition as a separate scientific discipline not established.,,https://github.com/therickyfoster/equatoriology/blob/main/README.md,100
97,Frontier concepts and labels,Cosmic-cycle ecological framework,Hypothesize links between large-scale natural cycles and ecological restoration strategy.,Speculative; capability unestablished,S,Geo-Ecological-Resonant-Engineering-GERE-,README.md,2025-07-13T22:36:16Z,2025-07-13T16:36:16-06:00,Document or interface proposal; claimed capability not independently demonstrated,"A hypothesis framework, not a demonstrated new physical effect or forecasting capability.",,https://github.com/therickyfoster/Geo-Ecological-Resonant-Engineering-GERE-/blob/main/README.md,101
98,Frontier concepts and labels,Arterial-cleaning nanorobots,Propose targeted intravascular plaque-clearing devices.,Speculative; capability unestablished,S,VascuSweep,README.md,2025-06-28T06:43:08Z,2025-06-28T02:39:22-04:00,Document or interface proposal; claimed capability not independently demonstrated,Targeted plaque nanotherapy has predecessors; operational nanorobots not demonstrated in the export.,https://med.stanford.edu/cvi/mission/news_center/articles_announcements/2024/trojan-horse-therapy-targets-heart-disease-without-harmful-side-effects.html,https://github.com/therickyfoster/VascuSweep/blob/main/README.md,102
99,Frontier concepts and labels,ViraBloom,Propose coordinated engineered biological vectors for large-scale microbiome restoration.,Speculative; capability unestablished,S,planetary-restoration-archive,innovations/virabloom/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T16:15:58-04:00,Document or interface proposal; claimed capability not independently demonstrated,"Mechanism, containment and benefit not established; not counted as a functioning restoration technology.",,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/virabloom/system_summary.md,103
100,Frontier concepts and labels,StratoWeave,"Combine giant air-treatment towers, renewable energy and proposed rainfall/climate control.",Speculative; capability unestablished,S,stratoweave-towers,README.md,2025-07-21T02:35:56Z,2025-07-20T20:35:56-06:00,Document or interface proposal; claimed capability not independently demonstrated,"No validated scale, energy budget or regional climate performance.",,https://github.com/therickyfoster/stratoweave-towers/blob/main/README.md,104
101,Frontier concepts and labels,Aurora Spire,"Propose high-altitude energy collection, power transmission and auroral climate shielding.",Speculative; capability unestablished,S,aurora-spire-network,README.md,2025-07-21T02:38:44Z,2025-07-20T20:38:44-06:00,Document or interface proposal; claimed capability not independently demonstrated,Claimed energy/field capabilities unsupported by a demonstrated engineering system.,,https://github.com/therickyfoster/aurora-spire-network/blob/main/README.md,105
102,Frontier concepts and labels,Eclipsera Veil,Propose orbital solar-shading infrastructure.,Speculative; capability unestablished,S,eclipsera-veil,README.md,2025-07-21T02:39:59Z,2025-07-20T20:39:59-06:00,Document or interface proposal; claimed capability not independently demonstrated,Architecture-level idea; no exhaustive orbital sunshade prior-art search performed here.,,https://github.com/therickyfoster/eclipsera-veil/blob/main/README.md,106
103,Frontier concepts and labels,Agitation Pressure Drive,Propose propulsion based on controlled agitation and pressure dynamics.,Speculative; capability unestablished,S,AgitationPressureDrive,README.md,2025-06-29T22:39:42Z,2025-06-29T18:28:34-04:00,Document or interface proposal; claimed capability not independently demonstrated,Require externally measured thrust and full momentum/energy accounting; no validated propulsion breakthrough established.,,https://github.com/therickyfoster/AgitationPressureDrive/blob/main/README.md,107
104,Frontier concepts and labels,PhaseDrive,Propose phase-related propulsion/control architecture.,Speculative; capability unestablished,S,PhaseDrive,README.md,2025-06-29T21:22:08Z,2025-06-29T15:22:08-06:00,Document or interface proposal; claimed capability not independently demonstrated,Conceptual claims do not establish a new physical mechanism.,,https://github.com/therickyfoster/PhaseDrive/blob/main/README.md,108
105,Frontier concepts and labels,SkySpiral Lift Dome,Propose passive lift from thermodynamic spiral airflow.,Speculative; capability unestablished,S,planetary-restoration-archive,innovations/atmospheric-aerial/SkySpiral_Lift_Dome/system_summary.md,2025-07-05T23:29:31Z,2025-07-13T21:50:36-04:00,Document or interface proposal; claimed capability not independently demonstrated,Need buoyancy/flow and power measurements; short summary does not establish capability.,,https://github.com/therickyfoster/planetary-restoration-archive/blob/main/innovations/atmospheric-aerial/SkySpiral_Lift_Dome/system_summary.md,109
106,Frontier concepts and labels,Primordis Architect,Speculative planetary/cosmic construction architecture.,Speculative; capability unestablished,S,primordis-architect,README.md,2025-07-21T02:42:55Z,2025-07-20T20:42:56-06:00,Document or interface proposal; claimed capability not independently demonstrated,"Creative speculation, not a demonstrated scientific first.",,https://github.com/therickyfoster/primordis-architect/blob/main/README.md,110
107,Frontier concepts and labels,Origin Singularity Forge,Speculative large-scale origin/creation system.,Speculative; capability unestablished,S,origin-singularity-forge,README.md,2025-07-21T02:43:43Z,2025-07-20T20:43:43-06:00,Document or interface proposal; claimed capability not independently demonstrated,Insufficient operational mechanism or experimental evidence for technological priority.,,https://github.com/therickyfoster/origin-singularity-forge/blob/main/README.md,111
108,Frontier concepts and labels,Nullis Prism Nexus,Speculative frontier architecture described in the archive.,Speculative; capability unestablished,S,nullis-prism-nexus,README.md,2025-07-21T02:45:25Z,2025-07-20T20:45:26-06:00,Document or interface proposal; claimed capability not independently demonstrated,Treat as conceptual writing; a distinctive name does not establish scientific priority.,,https://github.com/therickyfoster/nullis-prism-nexus/blob/main/README.md,112
